时间,开盘,最高,最低,收盘,成交量,持仓量,MA5,MA10,MA20,MA60,MACD,MACD_SIGNAL,MACD_HIST,RSI14,ATR14,CCI20,VOL_MA20,OBV,OI_MA20,OI_CHANGE,OI_CHANGE_PCT
2014-04-04,13100,13170,13060,13155,12559,61713,13077.0,12990.5,13020.75,13360.166666666666,-62.52930760694289,-106.44935498460556,43.920047377662655,53.57142857142858,146.78571428571428,36.698780446170296,14406.6,5351521,57198.85,278.0,0.4525107837551889
2014-04-07,13100,13170,13100,13155,12559,61713,13105.0,13031.0,13024.5,13347.583333333334,-48.6954809472154,-94.89858017712751,46.20309922991211,59.60264900662252,142.85714285714286,40.2426233281504,14462.35,5351521,57928.2,0.0,0.0
2014-04-08,13110,13145,13090,13130,8160,61871,13126.0,13056.0,13018.75,13335.583333333334,-39.29638050501126,-83.77814024270427,44.48175973769301,67.16417910447763,136.07142857142858,36.764014603102005,14349.2,5343361,58456.6,158.0,0.2560238523487745
2014-04-09,13075,13135,13035,13060,9896,61661,13122.0,13068.0,13009.25,13323.166666666666,-37.06863650607556,-74.43623949537853,37.367602989302966,69.23076923076923,116.42857142857144,24.86074509485049,14300.3,5333465,58952.1,-210.0,-0.3394158814307157
2014-04-10,13050,13220,13015,13160,21981,63084,13132.0,13092.5,13006.5,13312.583333333334,-26.923610449859552,-64.93371368627474,38.01010323641519,78.57142857142857,120.71428571428572,49.409008810418825,15039.25,5355446,59531.8,1423.0,2.3077796338041967
2014-04-11,13175,13290,13170,13265,23936,63581,13154.0,13115.5,13012.5,13304.5,-10.29233806450793,-54.00543856192139,43.71310049741346,82.38993710691824,122.14285714285714,85.73103403172266,15640.15,5379382,60054.3,497.0,0.7878384376386993
2014-04-14,13210,13250,13180,13235,13721,62112,13170.0,13137.5,13019.5,13295.75,0.4619903065158723,-43.11195278823394,43.573943094749815,75.53956834532374,117.5,73.23615892864093,15946.2,5365661,60411.2,-1469.0,-2.3104386530567345
2014-04-15,13230,13265,13195,13210,11651,61276,13186.0,13156.0,13029.5,13287.583333333334,6.888179311661588,-33.111926368254835,40.00010567991642,70.45454545454545,114.64285714285714,66.96853993056162,15855.1,5354010,60614.0,-836.0,-1.3459556929417804
2014-04-16,13150,13210,13130,13185,7581,60135,13211.0,13166.5,13043.75,13278.25,9.85014301299634,-24.5195124920046,34.36965550500094,70.45454545454545,113.57142857142856,46.22606661343971,15492.5,5346429,60651.4,-1141.0,-1.8620667145375025
2014-04-17,13230,13255,13210,13240,7338,59020,13227.0,13179.5,13065.25,13269.583333333334,16.44598188996315,-16.326413615611052,32.7723955055742,67.22689075630252,105.71428571428572,60.06683575758663,14319.0,5353767,60664.75,-1115.0,-1.8541614700257725
